feature,median_liposarcoma,median_lipoma,median_difference,mean_difference,U_statistic,p_value,rank_biserial_corr,n_liposarcoma,n_lipoma,p_value_fdr_bh,significant_fdr_0.05
PREDICT_original_sf_volume_2.5D,436645.18272300623,153763.36615223624,282881.81657077,442102.9013115163,2734.0,1.5020308146890759e-09,-0.6539624924379914,58,57,7.405011916417144e-07,True
PREDICT_original_sf_area_std_2.5D,1769.8869138284913,685.4003934771849,1084.4865203513064,1239.8817913309117,2533.0,8.663971208756615e-07,-0.5323653962492438,58,57,0.00014237792686390036,True
PREDICT_original_sf_area_max_2.5D,6132.488250732422,2476.576171875,3655.912078857422,4147.350421800376,2546.0,5.96014538528631e-07,-0.5402298850574712,58,57,0.00014237792686390036,True
PREDICT_original_sf_area_avg_2.5D,3570.0334124495816,1578.574902670724,1991.4585097788577,2501.153682039241,2513.0,1.5251846134645188e-06,-0.5202661826981245,58,57,0.00015038320288760155,True
PREDICT_original_tf_Gabor_mean_F0.2_A0.0,-0.0017240972313007,0.0002249613434796,-0.0019490585747802998,-0.003793666615492514,793.0,1.5251846134645188e-06,0.5202661826981246,58,57,0.00015038320288760155,True
PREDICT_original_tf_Gabor_mean_F0.2_A0.79,-0.00193890952774065,0.0001802851956718,-0.0021191947234124498,-0.0027820784321523325,806.0,2.188528445691639e-06,0.5124016938898972,58,57,0.000179824087287663,True
PREDICT_original_tf_Gabor_mean_F0.05_A0.0,0.0027612558531709998,0.0124185261080256,-0.0096572702548546,-0.01177202242160242,890.0,1.996296549721971e-05,0.4615849969751966,58,57,0.0014059631414470454,True
PREDICT_original_tf_Gabor_energy_F0.2_A0.79,12420.883656877822,3143.1669274465903,9277.716729431231,20635.187362075154,2354.0,8.910675726012887e-05,-0.4240774349667271,58,57,0.0054912039161554415,True
PREDICT_original_tf_Gabor_entropy_F0.5_A2.36,17.345398721864726,16.143411904269996,1.2019868175947295,1.2409149815276344,2292.0,0.0003547146434836021,-0.3865698729582576,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_energy_F0.2_A0.0,17738.29316321014,4680.875621760857,13057.417541449282,32552.051104450482,2341.0,0.00012017619122076039,-0.4162129461584998,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.2_A0.0,17.35298638387407,16.149781652108377,1.2032047317656946,1.2435146809226758,2293.0,0.00034721207632791096,-0.3871748336358136,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.05_A1.57,17.33514479370106,16.12880015303362,1.2063446406674387,1.2528863062134068,2298.0,0.0003118751052841791,-0.3901996370235934,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_energy_F0.05_A1.57,18005.312344805596,4940.482883211133,13064.829461594461,19441.151641683166,2295.0,0.00033265013869558034,-0.3883847549909256,58,57,0.0055827414606465075,True
PREDICT_original_phasef_phasecong_entropy_WL3_N5,14.559253714247593,13.499218043722646,1.0600356705249467,1.081004673337823,2305.0,0.0002680286815050012,-0.39443436176648516,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.05_A0.79,17.333089662090984,16.143345820189857,1.1897438419011266,1.2516511563116737,2298.0,0.0003118751052841791,-0.3901996370235934,58,57,0.0055827414606465075,True
PREDICT_original_tf_LBP_entropy_R3_P12,17.03820941905736,15.901247379514436,1.136962039542924,1.2403917788931516,2295.0,0.00033265013869558034,-0.3883847549909256,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.2_A0.79,17.348477705669687,16.144539130353078,1.2039385753166094,1.2448993820927114,2293.0,0.00034721207632791096,-0.3871748336358136,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.5_A1.57,17.352123350941575,16.14722225910649,1.2049010918350866,1.239126882202168,2292.0,0.0003547146434836021,-0.3865698729582576,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_median_F0.05_A0.0,-0.00112344141605635,0.0052411782166422,-0.00636461963269855,-0.010048245458038228,1013.0,0.00034721207632791096,0.3871748336358136,58,57,0.0055827414606465075,True
PREDICT_original_logf_entropy_sigma1,17.34818566312238,16.15204364631934,1.1961420168030408,1.2379595295070196,2292.0,0.0003547146434836021,-0.3865698729582576,58,57,0.0055827414606465075,True
PREDICT_original_tf_LBP_energy_R8_P24,78123669.875,29153679.5,48969990.375,65352935.39655173,2294.0,0.0003398581478103754,-0.3877797943133696,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.2_A1.57,17.348773975749324,16.14676057038546,1.2020134053638643,1.2420874265620405,2293.0,0.00034721207632791096,-0.3871748336358136,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.2_A2.36,17.34059696692242,16.122736792214877,1.2178601747075426,1.2405990294249385,2291.0,0.00036236861407847515,-0.38596491228070184,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_mean_F0.5_A0.0,-0.0001765521248435,0.0027566436142019,-0.0029331957390454,-0.0033562451364886076,997.0,0.00024563978232884366,0.39685420447670905,58,57,0.0055827414606465075,True
PREDICT_original_logf_entropy_sigma5,17.335117171104375,16.150670666121194,1.1844465049831818,1.2374876359478009,2295.0,0.00033265013869558034,-0.3883847549909256,58,57,0.0055827414606465075,True
PREDICT_original_tf_Gabor_entropy_F0.5_A0.0,17.35263344832807,16.14993979428812,1.202693654039951,1.2399813131606017,2292.0,0.0003547146434836021,-0.3865698729582576,58,57,0.0055827414606465075,True
